Date	P	E	Q	Tmax	Tmin
1961-03-05	0.12	1.651	2.2987	22.4167	9.9333
1961-03-06	5.59	1.676	2.1992	20.15	12.6389
1961-03-07	9.89	1.701	2.1494	19.8167	11.7556
1961-03-08	29.2	1.726	3.4629	20.2	10.55
1961-03-09	0.7	1.752	4.259	10.3667	-2.5278
1961-03-10	0.1	1.778	3.0351	8.8	-3.6167
1961-03-11	0	1.803	2.6072	15.7611	-4.1333
1961-03-12	0.08	1.829	2.3783	18.9722	-0.3778
1961-03-13	5.96	1.856	2.239	16.2	3.8444
1961-03-14	2.07	1.882	2.2987	13.4111	5.2167
1961-03-15	0.04	1.908	2.1494	18.2444	-1.2167
1961-03-16	1.85	1.935	2.0201	15.5111	4.4111
1961-03-17	0.1	1.961	1.8907	14.4944	-2.5611
1961-03-18	17.37	1.988	1.9205	8.3889	-1.4611
1961-03-19	1.17	2.014	2.4678	19.0278	0.6778
1961-03-20	1.01	2.041	2.4678	17.1444	2.7556
1961-03-21	14.58	2.068	2.4081	10.3556	3.35
1961-03-22	0.15	2.095	2.8858	11.3444	2.7111
1961-03-23	3.51	2.122	2.5873	11.9833	2.7389
1961-03-24	0.23	2.149	2.3683	8.9667	0.7556
1961-03-25	0.01	2.176	2.1892	16.6389	-0.0222
1961-03-26	0	2.203	2.0599	21.15	-1.55
1961-03-27	0	2.23	1.9504	20.6222	2.7556
1961-03-28	1.17	2.257	1.8907	18.0056	5.5167
1961-03-29	0	2.283	1.821	20.4667	4.15
1961-03-30	0	2.31	1.7514	18.4	3.8389
1961-03-31	35.59	2.337	2.1693	15.2333	7.0944
1961-04-01	1.67	2.364	3.4729	11.1667	3.85
1961-04-02	0.07	2.391	2.9156	11.4611	-0.7611
1961-04-03	2.89	2.418	2.438	13.7556	-0.2889
1961-04-04	0.01	2.445	2.2987	10.3	0.1111
1961-04-05	0.14	2.472	2.1295	17.15	-3.1778
1961-04-06	0.03	2.498	2.0101	13.5	2.8944
1961-04-07	0	2.525	1.9404	12.8889	-0.1944
1961-04-08	0.11	2.551	1.8807	14.5111	-2.4056
1961-04-09	46.17	2.578	2.3484	10.2889	3.0278
1961-04-10	0.25	2.604	5.3238	10.6722	3.2722
1961-04-11	0.04	2.63	4.1894	17.1167	-1.8222
